actionability_mode,sample_index,true_class,predicted_class,desired_class,base_desired_probability,valid_counterfactual_found,best_desired_probability,probability_gain,best_cost,best_num_changes,best_changed_features
full_default,172,3,3,4,0.08867925634221577,True,0.5948007194872003,0.5061214631449845,2.6711934524749865,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,601,3,3,4,0.0636223986485832,True,0.603454579795825,0.5398321811472417,2.057680365408431,1.0,EmpLastSalaryHikePercent
full_default,1018,3,3,4,0.0665494621962574,True,0.598329575998307,0.5317801138020497,0.9675772994607561,1.0,EmpLastSalaryHikePercent
full_default,433,3,3,4,0.11226668615522517,True,0.5354079035028267,0.4231412173476016,4.578873817883418,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,21,3,3,4,0.07112124583457806,True,0.5703218986689211,0.49920065283434306,0.9675772994607561,1.0,EmpLastSalaryHikePercent
full_default,506,3,3,4,0.0720038977394017,True,0.5511791083594028,0.47917521062000107,1.5126288324345933,1.0,EmpLastSalaryHikePercent
full_default,10,3,3,4,0.09260715826724325,True,0.6838030065254099,0.5911958482581667,4.03382228490958,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,414,2,2,3,0.33886768842904835,True,0.850993632953885,0.5121259445248366,1.9761419195011494,1.0,EmpEnvironmentSatisfaction
full_default,180,3,3,4,0.07276299751111577,True,0.5797905644592153,0.5070275669480995,2.3302061318953493,1.0,EmpLastSalaryHikePercent
full_default,1148,3,3,4,0.061814583792243125,True,0.6380123485870816,0.5761977647948384,2.3302061318953493,1.0,EmpLastSalaryHikePercent
full_default,125,3,3,4,0.0766816317759986,True,0.5622184119429187,0.48553678016692003,0.6950515329738374,1.0,EmpLastSalaryHikePercent
full_default,1116,3,3,4,0.10045268353670321,True,0.5972887817906758,0.49683609825397257,4.578873817883418,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,1056,3,3,4,0.06649276914587776,True,0.5724693344401388,0.505976565294261,2.602731898382268,1.0,EmpLastSalaryHikePercent
full_default,1186,3,3,4,0.07648019630865246,True,0.6790251493478606,0.6025449530392082,1.785154598921512,1.0,EmpLastSalaryHikePercent
full_default,1099,3,3,4,0.0830789645165368,True,0.5016729601192318,0.418593995602695,1.785154598921512,1.0,EmpLastSalaryHikePercent
full_default,1121,3,3,4,0.08397697449049323,True,0.5288948883501725,0.44491791385967927,2.602731898382268,1.0,EmpLastSalaryHikePercent
full_default,993,3,3,4,0.10239245447220094,True,0.5355153366760681,0.4331228822038672,2.6711934524749865,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,300,3,3,4,0.0795956305710084,True,0.5742881292260397,0.4946924986550313,2.602731898382268,1.0,EmpLastSalaryHikePercent
full_default,1184,3,3,4,0.09449908567502839,True,0.6467486590833685,0.5522495734083401,3.1207513251590053,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,534,3,3,4,0.08875215301249618,True,0.5982393099566804,0.5094871569441842,4.578873817883418,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,953,4,3,4,0.09097380338097426,True,0.571336481478026,0.4803626780970517,1.785154598921512,1.0,EmpLastSalaryHikePercent
full_default,425,2,2,3,0.2769939207625492,True,0.853912618336804,0.5769186975742548,1.0630709597505748,1.0,EmpEnvironmentSatisfaction
full_default,1086,2,3,4,0.09349282122154064,True,0.5822012270476192,0.4887084058260786,4.578873817883418,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,674,3,3,4,0.07061840770446297,True,0.6066195570336553,0.5360011493291924,1.5126288324345933,1.0,EmpLastSalaryHikePercent
full_default,358,3,3,4,0.08129615812719794,True,0.6494045065277084,0.5681083484005105,2.8752576648691868,1.0,EmpLastSalaryHikePercent
full_default,223,2,2,3,0.29916953953490455,True,0.7900217800728935,0.4908522405379889,1.0630709597505748,1.0,EmpEnvironmentSatisfaction
full_default,994,3,3,4,0.09103522161341719,True,0.5693783380114045,0.47834311639798727,1.7581224927244121,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,866,3,3,4,0.11437511568964705,True,0.5643901913999038,0.45001507571025673,0.42252576648691864,1.0,EmpLastSalaryHikePercent
full_default,368,3,3,4,0.07359059552555872,True,0.672228762220538,0.5986381666949793,3.1477834313561055,1.0,EmpLastSalaryHikePercent
full_default,135,3,3,4,0.06907929712718534,True,0.5935497178229909,0.5244704206958056,1.2401030659476746,1.0,EmpLastSalaryHikePercent
full_default,188,3,3,4,0.09677115587093857,True,0.6330564654898275,0.536285309618889,4.03382228490958,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,1158,3,2,3,0.29366593262320645,False,,,,,
full_default,289,3,3,4,0.06616231163998042,True,0.6096215600605146,0.5434592484205342,1.785154598921512,1.0,EmpLastSalaryHikePercent
full_default,186,3,3,4,0.1077508190982996,True,0.6743962603445818,0.5666454412462821,4.999876355660981,3.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent, EmpWorkLifeBalance"
full_default,825,3,3,4,0.09433285964815176,True,0.5321490701596611,0.4378162105115093,2.030648259211331,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,1146,3,3,4,0.11419355545789722,True,0.5150660661586773,0.4008725107007801,2.9437192189619052,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,637,3,3,4,0.07889666706528212,True,0.5838430354046659,0.5049463683393838,2.057680365408431,1.0,EmpLastSalaryHikePercent
full_default,786,2,2,3,0.31456469701760853,True,0.8536213504111599,0.5390566533935515,1.0630709597505748,1.0,EmpEnvironmentSatisfaction
full_default,1092,3,3,4,0.08949360809561002,True,0.5986954943424292,0.5092018862468192,2.575699792185168,2.0,"EmpEnvironmentSatisfaction, EmpLastSalaryHikePercent"
full_default,715,3,3,4,0.11210849740317023,True,0.5142453480897384,0.4021368506865682,0.42252576648691864,1.0,EmpLastSalaryHikePercent
full_default,1174,3,3,4,0.06799522924495897,True,0.545173820318643,0.47717859107368404,0.6950515329738374,1.0,EmpLastSalaryHikePercent
full_default,995,4,2,3,0.23800516587959664,False,,,,,
full_default,862,3,3,4,0.0759412904571996,True,0.5944345931670695,0.5184933027098699,2.3302061318953493,1.0,EmpLastSalaryHikePercent
full_default,321,3,3,4,0.0697326775198736,True,0.5982264288856378,0.5284937513657643,2.602731898382268,1.0,EmpLastSalaryHikePercent
full_default,685,3,3,4,0.0636728338297497,True,0.6343323631751742,0.5706595293454244,1.785154598921512,1.0,EmpLastSalaryHikePercent
full_default,718,2,2,3,0.31334449790577695,True,0.8085395775651951,0.49519507965941817,1.9761419195011494,1.0,EmpEnvironmentSatisfaction
full_default,546,2,2,3,0.3300774239341078,True,0.8601629435834659,0.5300855196493581,1.9761419195011494,1.0,EmpEnvironmentSatisfaction
full_default,1137,2,2,3,0.2412720827662058,True,0.8550957711640775,0.6138236883978717,1.0630709597505748,1.0,EmpEnvironmentSatisfaction
full_default,292,3,3,4,0.08043111170949016,True,0.6053125766513822,0.524881464941892,2.5741765634758123,2.0,"EmpLastSalaryHikePercent, EmpWorkLifeBalance"
